# airline	from	to	codeshare	stops	equipment
# Date: 2014-06-28
3U	HRB	WUH		0	321
3U	HRB	XIY		0	321
3U	HRB	XUZ		0	320 321
3U	ICN	CTU		0	321
3U	INC	CKG		0	321
3U	INC	CTU		0	321
3U	INC	HRB		0	321
3U	INC	KWL		0	320
3U	JGN	LHW		0	319
3U	JHG	CTU		0	319
3U	JHG	KMG		0	319
3U	JIQ	CTU		0	320
3U	JJN	KWE		0	320
3U	JJN	WUH		0	319
3U	JZH	CTU		0	319
3U	KHG	URC		0	319
3U	KHN	CKG		0	319
3U	KHN	CTU		0	321
3U	KHN	KMG		0	319
3U	KHN	NGB		0	321
3U	KMG	CGO		0	320
3U	KMG	CKG		0	319 320
3U	KMG	CSX		0	320
3U	KMG	CTU		0	320
3U	KMG	JHG		0	319
3U	KMG	KHN		0	319
3U	KMG	KWE		0	320
3U	KMG	LUM		0	319
3U	KMG	NGB		0	320
3U	KMG	NKG		0	320
3U	KMG	TAO		0	320
3U	KMG	TNA		0	320
3U	KMG	TPE		0	320
3U	KMG	WXN		0	320
3U	KMG	XIY		0	320
3U	KMG	XMN		0	320
3U	KMG	XUZ		0	320
3U	KOW	CTU		0	320
3U	KOW	XMN		0	320
3U	KWE	CTU		0	320
3U	KWE	HGH		0	320
3U	KWE	JJN		0	320
3U	KWE	KMG		0	320
3U	KWE	LHW		0	321
3U	KWE	SYX		0	321
3U	KWE	WNZ		0	320
3U	KWE	XUZ		0	321
3U	KWL	INC		0	320
3U	KWL	SJW		0	321
3U	KWL	SYX		0	320
3U	LHW	CKG		0	319 321
3U	LHW	CTU		0	319
3U	LHW	DNH		0	319
3U	LHW	JGN		0	319
3U	LHW	KWE		0	321
3U	LHW	TSN		0	321
3U	LJG	CKG		0	319
3U	LJG	CTU		0	319
3U	LJG	MIG		0	319
3U	LUM	CTU		0	319
3U	LUM	KMG		0	319
3U	LXA	CKG		0	319
3U	LXA	CTU		0	330 319
3U	LXA	GXH		0	319
3U	LXA	XIY		0	319
3U	LXA	XNN		0	319
3U	LYI	XIY		0	319 320
3U	LZY	CTU		0	319
3U	MEL	CTU		0	330
